fixture_id,home_XGoals,away_XGoals,home_corners,away_corners,home_yellow_cards,away_yellow_cards,home_shots,away_shots,home_shots_on_goal,away_shots_on_goal,home_gk_saves,away_gk_saves,home_possession,away_possession,home_pass_accuracy,away_pass_accuracy,home_offsides,away_offsides,home_fouls,away_fouls
1208188,0.71,2.33,2,1,2,0,10,15,2,7,3,2,42%,58%,83%,87%,3,1,9,7
1208185,1.59,2.87,3,3,2,2,15,14,6,6,1,5,42%,58%,81%,87%,1,0,9,8
1208190,2.28,1.63,13,1,1,3,23,10,7,5,2,7,60%,40%,80%,75%,0,2,11,11
1208187,0.88,0.26,6,5,1,3,15,5,5,1,1,5,57%,43%,86%,80%,1,2,8,15
1208186,1.03,1.17,2,5,4,1,5,12,4,5,4,4,25%,75%,73%,90%,2,1,20,12
1208189,0.8,1.11,6,1,2,0,9,8,5,4,1,4,54%,46%,87%,84%,1,1,15,16
1208191,1.27,5.63,7,5,1,2,9,24,5,12,6,2,52%,48%,85%,86%,4,4,7,9
1208198,2.09,0.63,8,5,1,4,24,8,5,3,2,4,66%,34%,91%,81%,2,2,5,10
1208199,2.76,0.34,9,6,2,1,22,4,8,1,1,4,63%,37%,92%,80%,5,3,15,10
1208193,1.47,0.45,5,2,2,2,18,10,4,4,4,3,52%,48%,82%,78%,1,1,13,12
1208201,1.4,1.81,2,2,1,2,18,16,5,2,1,5,54%,46%,84%,79%,0,0,15,8
1208196,1.12,1.78,3,1,1,3,12,14,8,7,5,7,47%,53%,83%,86%,3,1,13,13
